"","period","site","dens","spp","norm"
"1",1,"1",1,"Bal.ele",1.43636154904322
"2",2,"1",0.5,"Bal.ele",0.354171340859971
"3",3,"1",0,"Bal.ele",-0.728018867323274
"4",4,"1",1.5,"Bal.ele",2.51855175722646
"5",5,"1",0,"Bal.ele",-0.728018867323274
"6",6,"1",0.5,"Bal.ele",0.354171340859971
"7",7,"1",0,"Bal.ele",-0.728018867323274
"8",8,"1",0,"Bal.ele",-0.728018867323274
"9",9,"1",1.5,"Bal.ele",2.51855175722646
"10",10,"1",1,"Bal.ele",1.43636154904322
"11",11,"1",0,"Bal.ele",-0.728018867323274
"12",12,"1",0.5,"Bal.ele",0.354171340859971
"13",13,"1",0.5,"Bal.ele",0.354171340859971
"14",14,"1",0.5,"Bal.ele",0.354171340859971
"15",15,"1",0,"Bal.ele",-0.728018867323274
"16",16,"1",0,"Bal.ele",-0.728018867323274
"17",17,"1",0,"Bal.ele",-0.728018867323274
"18",18,"1",0,"Bal.ele",-0.728018867323274
"19",19,"1",0,"Bal.ele",-0.728018867323274
"20",20,"1",NA,"Bal.ele",NA
"21",21,"1",0,"Bal.ele",-0.728018867323274
"22",22,"1",0,"Bal.ele",-0.728018867323274
"23",23,"1",0,"Bal.ele",-0.728018867323274
"24",24,"1",0,"Bal.ele",-0.728018867323274
"25",25,"1",0,"Bal.ele",-0.728018867323274
"26",26,"1",NA,"Bal.ele",NA
"27",27,"1",0.5,"Bal.ele",0.354171340859971
"28",28,"1",0.5,"Bal.ele",0.354171340859971
"29",29,"1",0,"Bal.ele",-0.728018867323274
"30",30,"1",0,"Bal.ele",-0.728018867323274
"31",31,"1",0,"Bal.ele",-0.728018867323274
"32",32,"1",0.5,"Bal.ele",0.354171340859971
"33",33,"1",0.5,"Bal.ele",0.354171340859971
"34",34,"1",1,"Bal.ele",1.43636154904322
"35",35,"1",0,"Bal.ele",-0.728018867323274
"36",36,"1",0.5,"Bal.ele",0.354171340859971
"37",37,"1",0,"Bal.ele",-0.728018867323274
"38",38,"1",0,"Bal.ele",-0.728018867323274
"39",39,"1",0,"Bal.ele",-0.728018867323274
"40",40,"1",1,"Bal.ele",1.43636154904322
"41",41,"1",0.5,"Bal.ele",0.354171340859971
"42",42,"1",0,"Bal.ele",-0.728018867323274
"43",43,"1",0,"Bal.ele",-0.728018867323274
"44",44,"1",0,"Bal.ele",-0.728018867323274
"45",45,"1",0.5,"Bal.ele",0.354171340859971
"46",46,"1",0,"Bal.ele",-0.728018867323274
"47",47,"1",0,"Bal.ele",-0.728018867323274
"48",48,"1",NA,"Bal.ele",NA
"49",49,"1",0.5,"Bal.ele",0.354171340859971
"50",50,"1",0.5,"Bal.ele",0.354171340859971
"51",51,"1",0,"Bal.ele",-0.728018867323274
"52",52,"1",0,"Bal.ele",-0.728018867323274
"53",53,"1",0.5,"Bal.ele",0.354171340859971
"54",54,"1",0,"Bal.ele",-0.728018867323274
"55",55,"1",0,"Bal.ele",-0.728018867323274
"56",56,"1",NA,"Bal.ele",NA
"57",57,"1",1,"Bal.ele",1.43636154904322
"58",58,"1",NA,"Bal.ele",NA
"59",59,"1",NA,"Bal.ele",NA
"60",60,"1",NA,"Bal.ele",NA
"61",61,"1",1.5,"Bal.ele",2.51855175722646
"62",62,"1",NA,"Bal.ele",NA
"63",63,"1",1.5,"Bal.ele",2.51855175722646
"64",1,"1",5.5,"Bar.sub",-1.03099820377048
"65",2,"1",11.5,"Bar.sub",-0.702168246022484
"66",3,"1",13.5,"Bar.sub",-0.592558260106486
"67",4,"1",9.5,"Bar.sub",-0.811778231938483
"68",5,"1",19,"Bar.sub",-0.291130798837489
"69",6,"1",2,"Bar.sub",-1.22281567912348
"70",7,"1",4.5,"Bar.sub",-1.08580319672848
"71",8,"1",11.6667,"Bar.sub",-0.693032253696386
"72",9,"1",0.5,"Bar.sub",-1.30502316856048
"73",10,"1",0,"Bar.sub",-1.33242566503948
"74",11,"1",0.5,"Bar.sub",-1.30502316856048
"75",12,"1",1,"Bar.sub",-1.27762067208148
"76",13,"1",0,"Bar.sub",-1.33242566503948
"77",14,"1",1.5,"Bar.sub",-1.25021817560248
"78",15,"1",0.5,"Bar.sub",-1.30502316856048
"79",16,"1",1,"Bar.sub",-1.27762067208148
"80",17,"1",1.5,"Bar.sub",-1.25021817560248
"81",18,"1",2,"Bar.sub",-1.22281567912348
"82",19,"1",0,"Bar.sub",-1.33242566503948
"83",20,"1",NA,"Bar.sub",NA
"84",21,"1",9.5,"Bar.sub",-0.811778231938483
"85",22,"1",27.5,"Bar.sub",0.174711641305505
"86",23,"1",32,"Bar.sub",0.421334109616502
"87",24,"1",47,"Bar.sub",1.24340900398649
"88",25,"1",49.5,"Bar.sub",1.38042148638149
"89",26,"1",NA,"Bar.sub",NA
"90",27,"1",44,"Bar.sub",1.07899402511249
"91",28,"1",60,"Bar.sub",1.95587391244048
"92",29,"1",53.5,"Bar.sub",1.59964145821349
"93",30,"1",53.5,"Bar.sub",1.59964145821349
"94",31,"1",40.5,"Bar.sub",0.887176549759497
"95",32,"1",38.5,"Bar.sub",0.777566563843498
"96",33,"1",33.5,"Bar.sub",0.503541599053501
"97",34,"1",33,"Bar.sub",0.476139102574502
"98",35,"1",37,"Bar.sub",0.695359074406499
"99",36,"1",27,"Bar.sub",0.147309144826506
"100",37,"1",27,"Bar.sub",0.147309144826506
"101",38,"1",13,"Bar.sub",-0.619960756585485
"102",39,"1",30,"Bar.sub",0.311724123700504
"103",40,"1",34,"Bar.sub",0.530944095532501
"104",41,"1",40,"Bar.sub",0.859774053280497
"105",42,"1",50,"Bar.sub",1.40782398286049
"106",43,"1",48,"Bar.sub",1.29821399694449
"107",44,"1",57,"Bar.sub",1.79145893356649
"108",45,"1",48.5,"Bar.sub",1.32561649342349
"109",46,"1",40.5,"Bar.sub",0.887176549759497
"110",47,"1",13.5,"Bar.sub",-0.592558260106486
"111",48,"1",NA,"Bar.sub",NA
"112",49,"1",15.5,"Bar.sub",-0.482948274190487
"113",50,"1",30,"Bar.sub",0.311724123700504
"114",51,"1",24.5,"Bar.sub",0.0102966624315072
"115",52,"1",27,"Bar.sub",0.147309144826506
"116",53,"1",29,"Bar.sub",0.256919130742504
"117",54,"1",27.5,"Bar.sub",0.174711641305505
"118",55,"1",33.5,"Bar.sub",0.503541599053501
"119",56,"1",NA,"Bar.sub",NA
"120",57,"1",39,"Bar.sub",0.804969060322498
"121",58,"1",NA,"Bar.sub",NA
"122",59,"1",NA,"Bar.sub",NA
"123",60,"1",NA,"Bar.sub",NA
"124",61,"1",25.5,"Bar.sub",0.0651016553895065
"125",62,"1",NA,"Bar.sub",NA
"126",63,"1",12.5,"Bar.sub",-0.647363253064485
"127",1,"1",0.5,"Bos.spp",-0.412082609812439
"128",2,"1",5.5,"Bos.spp",1.22895327574095
"129",3,"1",9,"Bos.spp",2.37767839562833
"130",4,"1",9.5,"Bos.spp",2.54178198418367
"131",5,"1",5,"Bos.spp",1.06484968718561
"132",6,"1",3.5,"Bos.spp",0.572538921519596
"133",7,"1",7.5,"Bos.spp",1.88536762996231
"134",8,"1",0.5556,"Bos.spp",-0.393834290765086
"135",9,"1",6.5,"Bos.spp",1.55716045285163
"136",10,"1",1.5,"Bos.spp",-0.0838754327017609
"137",11,"1",0,"Bos.spp",-0.576186198367779
"138",12,"1",6.5,"Bos.spp",1.55716045285163
"139",13,"1",12,"Bos.spp",3.36229992696036
"140",14,"1",0.5,"Bos.spp",-0.412082609812439
"141",15,"1",0,"Bos.spp",-0.576186198367779
"142",16,"1",8,"Bos.spp",2.04947121851765
