"site","period","spp","dens","norm"
"1",1,"brown",0.5,-0.616089908724227
"1",1,"calred",35,0.877650820310422
"1",1,"encrust",30,-0.982398253052247
"1",1,"folred",16,4.46366891294355
"1",2,"brown",11.5,0.63843876683908
"1",2,"calred",54,1.83091402164381
"1",2,"encrust",14.5,-2.24781434911003
"1",2,"folred",9.5,2.31336872692381
"1",3,"brown",4,-0.216921693772266
"1",3,"calred",44,1.32919654725782
"1",3,"encrust",32.5,-0.778298882720347
"1",3,"folred",2,-0.167746872329751
"1",4,"brown",2.5,-0.387993785894535
"1",4,"calred",45,1.37936829469642
"1",4,"encrust",33.5,-0.696659134587586
"1",4,"folred",8.5,1.98255331369
"1",5,"brown",0,-0.67311393943165
"1",5,"calred",40.5,1.15359543122272
"1",5,"encrust",47,0.405477465204678
"1",5,"folred",5.5,0.990107073988575
"1",6,"brown",2.5,-0.387993785894535
"1",6,"calred",45.5,1.40445416841572
"1",6,"encrust",19.5,-1.83961560844623
"1",6,"folred",1.5,-0.333154578946655
"1",7,"brown",4.5,-0.159897663064843
"1",7,"calred",53,1.78074227420521
"1",7,"encrust",38,-0.329280267990165
"1",7,"folred",2,-0.167746872329751
"1",8,"brown",1.1111,-0.546395138393615
"1",8,"calred",43.8889,1.32362246611739
"1",8,"encrust",43.3333,0.106129000726286
"1",8,"folred",3.8889,0.457130361727588
"1",9,"brown",0.5,-0.616089908724227
"1",9,"calred",48,1.52988353701222
"1",9,"encrust",47.5,0.446297339271058
"1",9,"folred",0,-0.829377698797367
"1",10,"brown",7,0.125222490472273
"1",10,"calred",40.5,1.15359543122272
"1",10,"encrust",34,-0.655839260521206
"1",10,"folred",0.5,-0.663969992180463
"1",11,"brown",1.5,-0.502041847309381
"1",11,"calred",34,0.827479072871823
"1",11,"encrust",31.5,-0.859938630853107
"1",11,"folred",1,-0.498562285563559
"1",12,"brown",18.5,1.436775196743
"1",12,"calred",55.5,1.90617164280171
"1",12,"encrust",26.5,-1.26813737151691
"1",12,"folred",0.5,-0.663969992180463
"1",13,"brown",4.5,-0.159897663064843
"1",13,"calred",53,1.78074227420521
"1",13,"encrust",55.5,1.09941532433314
"1",13,"folred",1.5,-0.333154578946655
"1",14,"brown",10,0.467366674716811
"1",14,"calred",40,1.12850955750342
"1",14,"encrust",59,1.3851544427978
"1",14,"folred",1.5,-0.333154578946655
"1",15,"brown",9,0.353318613301965
"1",15,"calred",34,0.827479072871823
"1",15,"encrust",44.5,0.201378094872777
"1",15,"folred",1.5,-0.333154578946655
"1",16,"brown",13.5,0.866534889668773
"1",16,"calred",40.5,1.15359543122272
"1",16,"encrust",48.5,0.527937087403819
"1",16,"folred",2,-0.167746872329751
"1",17,"brown",7.5,0.182246521179696
"1",17,"calred",38.5,1.05325193634552
"1",17,"encrust",61.5,1.5892538131297
