"","period","site","dens","spp"
"1",1,"1",0,"Abi.spp"
"2",2,"1",0,"Abi.spp"
"3",3,"1",0,"Abi.spp"
"4",4,"1",0,"Abi.spp"
"5",5,"1",0,"Abi.spp"
"6",6,"1",0,"Abi.spp"
"7",7,"1",0,"Abi.spp"
"8",8,"1",1.1111,"Abi.spp"
"9",9,"1",0,"Abi.spp"
"10",10,"1",0.5,"Abi.spp"
"11",11,"1",0,"Abi.spp"
"12",12,"1",0.5,"Abi.spp"
"13",13,"1",0,"Abi.spp"
"14",14,"1",0,"Abi.spp"
"15",15,"1",0,"Abi.spp"
"16",16,"1",0,"Abi.spp"
"17",17,"1",0,"Abi.spp"
"18",18,"1",0,"Abi.spp"
"19",19,"1",0,"Abi.spp"
"20",20,"1",NA,"Abi.spp"
"21",21,"1",0,"Abi.spp"
"22",22,"1",0,"Abi.spp"
"23",23,"1",0,"Abi.spp"
"24",24,"1",0,"Abi.spp"
"25",25,"1",0,"Abi.spp"
"26",26,"1",NA,"Abi.spp"
"27",27,"1",0,"Abi.spp"
"28",28,"1",0,"Abi.spp"
"29",29,"1",0,"Abi.spp"
"30",30,"1",0,"Abi.spp"
"31",31,"1",0,"Abi.spp"
"32",32,"1",0,"Abi.spp"
"33",33,"1",0,"Abi.spp"
"34",34,"1",0,"Abi.spp"
"35",35,"1",0,"Abi.spp"
"36",36,"1",0,"Abi.spp"
"37",37,"1",0,"Abi.spp"
"38",38,"1",0,"Abi.spp"
"39",39,"1",0,"Abi.spp"
"40",40,"1",0,"Abi.spp"
"41",41,"1",0,"Abi.spp"
"42",42,"1",2,"Abi.spp"
"43",43,"1",6.5,"Abi.spp"
"44",44,"1",3.5,"Abi.spp"
"45",45,"1",2,"Abi.spp"
"46",46,"1",2,"Abi.spp"
"47",47,"1",0.5,"Abi.spp"
"48",48,"1",NA,"Abi.spp"
"49",49,"1",2,"Abi.spp"
"50",50,"1",0,"Abi.spp"
"51",51,"1",0.5,"Abi.spp"
"52",52,"1",1,"Abi.spp"
"53",53,"1",0,"Abi.spp"
"54",54,"1",0,"Abi.spp"
"55",55,"1",0,"Abi.spp"
"56",56,"1",NA,"Abi.spp"
"57",57,"1",0,"Abi.spp"
"58",58,"1",NA,"Abi.spp"
"59",59,"1",NA,"Abi.spp"
"60",60,"1",NA,"Abi.spp"
"61",61,"1",0,"Abi.spp"
"62",62,"1",NA,"Abi.spp"
"63",63,"1",1,"Abi.spp"
"64",1,"1",0,"Aca.cya"
"65",2,"1",0,"Aca.cya"
"66",3,"1",0,"Aca.cya"
"67",4,"1",0,"Aca.cya"
"68",5,"1",0,"Aca.cya"
"69",6,"1",0.5,"Aca.cya"
"70",7,"1",0,"Aca.cya"
"71",8,"1",0.5556,"Aca.cya"
"72",9,"1",0.5,"Aca.cya"
"73",10,"1",0,"Aca.cya"
"74",11,"1",0.5,"Aca.cya"
"75",12,"1",0.5,"Aca.cya"
"76",13,"1",0,"Aca.cya"
"77",14,"1",0,"Aca.cya"
"78",15,"1",0,"Aca.cya"
"79",16,"1",0,"Aca.cya"
"80",17,"1",0,"Aca.cya"
"81",18,"1",0,"Aca.cya"
"82",19,"1",0,"Aca.cya"
"83",20,"1",NA,"Aca.cya"
"84",21,"1",0,"Aca.cya"
"85",22,"1",0,"Aca.cya"
"86",23,"1",0,"Aca.cya"
"87",24,"1",0,"Aca.cya"
"88",25,"1",0,"Aca.cya"
"89",26,"1",NA,"Aca.cya"
"90",27,"1",0,"Aca.cya"
"91",28,"1",0,"Aca.cya"
"92",29,"1",0,"Aca.cya"
"93",30,"1",0,"Aca.cya"
"94",31,"1",0,"Aca.cya"
"95",32,"1",0,"Aca.cya"
"96",33,"1",0,"Aca.cya"
"97",34,"1",0,"Aca.cya"
"98",35,"1",0,"Aca.cya"
"99",36,"1",0,"Aca.cya"
"100",37,"1",0,"Aca.cya"
"101",38,"1",0,"Aca.cya"
"102",39,"1",0,"Aca.cya"
"103",40,"1",0,"Aca.cya"
"104",41,"1",0,"Aca.cya"
"105",42,"1",0,"Aca.cya"
"106",43,"1",0,"Aca.cya"
"107",44,"1",0,"Aca.cya"
"108",45,"1",0,"Aca.cya"
"109",46,"1",0,"Aca.cya"
"110",47,"1",0,"Aca.cya"
"111",48,"1",NA,"Aca.cya"
"112",49,"1",0,"Aca.cya"
"113",50,"1",0,"Aca.cya"
"114",51,"1",0,"Aca.cya"
"115",52,"1",0,"Aca.cya"
"116",53,"1",0,"Aca.cya"
"117",54,"1",0,"Aca.cya"
"118",55,"1",0,"Aca.cya"
"119",56,"1",NA,"Aca.cya"
"120",57,"1",0,"Aca.cya"
"121",58,"1",NA,"Aca.cya"
"122",59,"1",NA,"Aca.cya"
"123",60,"1",NA,"Aca.cya"
"124",61,"1",0,"Aca.cya"
"125",62,"1",NA,"Aca.cya"
"126",63,"1",0,"Aca.cya"
"127",1,"1",0,"Aca.eri"
"128",2,"1",0,"Aca.eri"
"129",3,"1",0,"Aca.eri"
"130",4,"1",0,"Aca.eri"
"131",5,"1",0,"Aca.eri"
"132",6,"1",0,"Aca.eri"
"133",7,"1",0,"Aca.eri"
"134",8,"1",0,"Aca.eri"
"135",9,"1",0,"Aca.eri"
"136",10,"1",0,"Aca.eri"
"137",11,"1",0,"Aca.eri"
"138",12,"1",0,"Aca.eri"
"139",13,"1",0,"Aca.eri"
"140",14,"1",0,"Aca.eri"
"141",15,"1",0,"Aca.eri"
"142",16,"1",0,"Aca.eri"
"143",17,"1",0,"Aca.eri"
"144",18,"1",0,"Aca.eri"
"145",19,"1",0,"Aca.eri"
"146",20,"1",NA,"Aca.eri"
"147",21,"1",0,"Aca.eri"
"148",22,"1",0,"Aca.eri"
"149",23,"1",0,"Aca.eri"
"150",24,"1",0,"Aca.eri"
"151",25,"1",0,"Aca.eri"
"152",26,"1",NA,"Aca.eri"
"153",27,"1",0,"Aca.eri"
"154",28,"1",0,"Aca.eri"
"155",29,"1",0,"Aca.eri"
"156",30,"1",0,"Aca.eri"
"157",31,"1",0,"Aca.eri"
"158",32,"1",0,"Aca.eri"
"159",33,"1",0,"Aca.eri"
"160",34,"1",0,"Aca.eri"
"161",35,"1",0,"Aca.eri"
"162",36,"1",0,"Aca.eri"
"163",37,"1",0,"Aca.eri"
"164",38,"1",0,"Aca.eri"
"165",39,"1",0,"Aca.eri"
"166",40,"1",0,"Aca.eri"
"167",41,"1",0,"Aca.eri"
"168",42,"1",0,"Aca.eri"
"169",43,"1",0,"Aca.eri"
"170",44,"1",0,"Aca.eri"
"171",45,"1",0,"Aca.eri"
"172",46,"1",0,"Aca.eri"
"173",47,"1",0,"Aca.eri"
"174",48,"1",NA,"Aca.eri"
"175",49,"1",0,"Aca.eri"
"176",50,"1",0,"Aca.eri"
"177",51,"1",0,"Aca.eri"
"178",52,"1",0,"Aca.eri"
"179",53,"1",0,"Aca.eri"
"180",54,"1",0,"Aca.eri"
"181",55,"1",0,"Aca.eri"
"182",56,"1",NA,"Aca.eri"
"183",57,"1",0,"Aca.eri"
"184",58,"1",NA,"Aca.eri"
"185",59,"1",NA,"Aca.eri"
"186",60,"1",NA,"Aca.eri"
"187",61,"1",0,"Aca.eri"
"188",62,"1",NA,"Aca.eri"
"189",63,"1",0,"Aca.eri"
"190",1,"1",0,"Agl.spp"
"191",2,"1",0,"Agl.spp"
"192",3,"1",0,"Agl.spp"
"193",4,"1",0,"Agl.spp"
"194",5,"1",0,"Agl.spp"
"195",6,"1",0,"Agl.spp"
"196",7,"1",0,"Agl.spp"
"197",8,"1",0.5556,"Agl.spp"
"198",9,"1",0.5,"Agl.spp"
"199",10,"1",0,"Agl.spp"
"200",11,"1",0,"Agl.spp"
"201",12,"1",0,"Agl.spp"
"202",13,"1",0,"Agl.spp"
"203",14,"1",0,"Agl.spp"
"204",15,"1",0,"Agl.spp"
"205",16,"1",0,"Agl.spp"
"206",17,"1",0,"Agl.spp"
"207",18,"1",0,"Agl.spp"
"208",19,"1",0.5,"Agl.spp"
"209",20,"1",NA,"Agl.spp"
"210",21,"1",0,"Agl.spp"
"211",22,"1",0,"Agl.spp"
"212",23,"1",0,"Agl.spp"
"213",24,"1",0,"Agl.spp"
"214",25,"1",0,"Agl.spp"
"215",26,"1",NA,"Agl.spp"
"216",27,"1",0,"Agl.spp"
"217",28,"1",0,"Agl.spp"
"218",29,"1",0,"Agl.spp"
"219",30,"1",0,"Agl.spp"
"220",31,"1",0,"Agl.spp"
"221",32,"1",0,"Agl.spp"
"222",33,"1",0,"Agl.spp"
"223",34,"1",0,"Agl.spp"
"224",35,"1",0,"Agl.spp"
"225",36,"1",0,"Agl.spp"
"226",37,"1",0,"Agl.spp"
"227",38,"1",0,"Agl.spp"
"228",39,"1",0,"Agl.spp"
"229",40,"1",0,"Agl.spp"
"230",41,"1",0,"Agl.spp"
"231",42,"1",0.5,"Agl.spp"
"232",43,"1",0,"Agl.spp"
"233",44,"1",1.5,"Agl.spp"
"234",45,"1",0,"Agl.spp"
"235",46,"1",0,"Agl.spp"
"236",47,"1",0,"Agl.spp"
"237",48,"1",NA,"Agl.spp"
"238",49,"1",0,"Agl.spp"
"239",50,"1",0,"Agl.spp"
"240",51,"1",0,"Agl.spp"
"241",52,"1",0,"Agl.spp"
"242",53,"1",0,"Agl.spp"
"243",54,"1",0,"Agl.spp"
"244",55,"1",0.5,"Agl.spp"
"245",56,"1",NA,"Agl.spp"
"246",57,"1",0.5,"Agl.spp"
"247",58,"1",NA,"Agl.spp"
"248",59,"1",NA,"Agl.spp"
"249",60,"1",NA,"Agl.spp"
"250",61,"1",0,"Agl.spp"
"251",62,"1",NA,"Agl.spp"
"252",63,"1",0,"Agl.spp"
"253",1,"1",0.5,"Ant.sol"
"254",2,"1",0,"Ant.sol"
"255",3,"1",0,"Ant.sol"
"256",4,"1",0,"Ant.sol"
"257",5,"1",0,"Ant.sol"
"258",6,"1",0,"Ant.sol"
"259",7,"1",0,"Ant.sol"
"260",8,"1",0,"Ant.sol"
"261",9,"1",0,"Ant.sol"
"262",10,"1",0,"Ant.sol"
"263",11,"1",0,"Ant.sol"
"264",12,"1",0.5,"Ant.sol"
"265",13,"1",0,"Ant.sol"
"266",14,"1",0,"Ant.sol"
"267",15,"1",0,"Ant.sol"
"268",16,"1",0,"Ant.sol"
"269",17,"1",0,"Ant.sol"
"270",18,"1",0,"Ant.sol"
"271",19,"1",0.5,"Ant.sol"
"272",20,"1",NA,"Ant.sol"
"273",21,"1",0,"Ant.sol"
"274",22,"1",0,"Ant.sol"
"275",23,"1",0,"Ant.sol"
"276",24,"1",0.5,"Ant.sol"
"277",25,"1",0,"Ant.sol"
"278",26,"1",NA,"Ant.sol"
"279",27,"1",0,"Ant.sol"
"280",28,"1",0,"Ant.sol"
"281",29,"1",0,"Ant.sol"
"282",30,"1",0,"Ant.sol"
"283",31,"1",0,"Ant.sol"
"284",32,"1",0,"Ant.sol"
"285",33,"1",0,"Ant.sol"
"286",34,"1",0,"Ant.sol"
"287",35,"1",0,"Ant.sol"
"288",36,"1",0.5,"Ant.sol"
"289",37,"1",0,"Ant.sol"
"290",38,"1",0,"Ant.sol"
"291",39,"1",0,"Ant.sol"
"292",40,"1",0,"Ant.sol"
"293",41,"1",0,"Ant.sol"
"294",42,"1",0,"Ant.sol"
"295",43,"1",0,"Ant.sol"
